"Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- In general, any consecutive string of \r and \n (in any order) will be
  treated as one SINGLE line break, except within an enclosed context
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first three will be parsed (you can use the rest as comments if needed)
- The file must end in a sequence of \r and \n's
- Every cell containing a ^, \r, or \n must be enclosed in ""
  - If a "" is encountered right after a non-enclosed separator, \r, or \n,
    then the parser is said to enter an ""enclosed context"", such context
    ends immediately when a non-escaped "" that is not followed by \r, \n,
    or a separator is encountered
  - "" within each cell should be escaped using another "" in front of it,
  - If a "" is encountered in a non-enclosed context, and it is not right
    after a separator, \r, or \n, then it is entirely ignored
  - If a non-escaped "" is encountered in an enclosed context...
    - If it is followed by a separator, \r, or \n, then it is considered
      the closing quote of the current context
    - Otherwise, it is ignored
  - If a separator, \r, or \n is encountered while in an enclosed context,
    it will be preserved
",
"IsValid"," ","NonDialogueFontScale"," ","DialogueFontScale"," ",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback"," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size."," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size. Recommended setting is around 0.3~0.6."," ",
"Path","Orig","Translation",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (12)/Sunglasses Total Text","2","_yar_2_yar_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Breadge/Breadge Total Text","9","_ho_9_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Oil/Oil Total Text","4","_yar_4_yar_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Text/ItemNameText","Collection","_ho_Collection_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/WorldMapPanel/Text/AreaNameText","Map
","_arrr_Map
_arrr_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/WorldMapPanel/Text/AreaNameTextBG","Map
","_yar_Map
_yar_",
"Magitech Hints@0","Hold <AltViewHold> to view the past","_arrr_Hold <AltViewHold> t_arrr_",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@0:0","Hey what are you- wait, you're the person with all the magical artifacts!","_yar_Hey what are you- wa_yar_",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@0:1","Perfect! You have that <#2e44f0>Anchor</color>, right? I've been writing my thesis on how it affects time and space!","_ho_Perfect! You have th_ho_",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@1:0","This... this is it! A <#c060c0><wavy>desync</wavy></color>!","_arrr_This... this is it! _arrr_",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@2:0","These <#c060c0><wavy>desyncs</wavy></color> are so fascinating, they break all rules we know.","_ho_These <#c060c0><wavy_ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Portal Operator 2@0:0","They're just letting anyone in these days, huh?","_arrr_They're just letting_arrr_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Portal Operator 2@0:1","We found some extremely long-chinned man in the past, but he's clearly from the modern age.","_yar_We found some extrem_yar_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Portal Operator 2@1:0","All this past and present is so confusing.","_yar_All this past and pr_yar_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Portal Operator 2@1:1","Moving objects locally doesn't matter... only the complete removal of them.","_ho_Moving objects local_ho_",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/Explosives Man@0:0","Destroy the rocks? Rig up explosives and use the laser!","_arrr_Destroy the rocks? R_arrr_",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/Explosives Man@0:1","Watch 'em go kaBOOM!","_yar_Watch 'em go kaBOOM!_yar_",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/Explosives Man@1:0","Erm...","_yar_Erm..._yar_",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/Explosives Man@1:1","Hope the next one's better...","_arrr_Hope the next one's _arrr_",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/Explosives Man@2:0","There're some real funny fellas 'round here, huh.","_arrr_There're some real f_arrr_",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/Explosives Man@2:1","Think any of 'em know explosion magic?","_ho_Think any of 'em kno_ho_",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/NPC Bomb Sign@0:1"," ...","_yar_ ..._yar_",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/NPC Bomb Sign@1:0","Oh, you're wondering why it didn't explode?","_arrr_Oh, you're wondering_arrr_",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/NPC Bomb Sign@1:1","I've been preparing this just for you.","_arrr_I've been preparing _arrr_",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/NPC Bomb Sign@1:2","Check it!","_yar_Check it!_yar_",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/NPC Bomb Sign@2:0","That was cool!! Right?!","_arrr_That was cool!! Righ_arrr_",
"Map/EightPuzzle/MagitechSTile (2) Past/Objects/NPC Bomb Sign@2:1","Right..?","_yar_Right..?_yar_",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Laser Operator@0:0","Our super-laser packs quite a punch! We're running some tests on it's power.","_ho_Our super-laser pack_ho_",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Laser Operator@0:1","Can you get me some oil so I can verify it's impact?","_arrr_Can you get me some _arrr_",
"Map/EightPuzzle/MagitechSTile (2)/Objects/Laser Operator@1:0","Wow! Lasers are so cool!!","_arrr_Wow! Lasers are so c_arrr_",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/NPC Bomb Sign@0:0","Haha don't worry, this time I'm going all out!","_arrr_Haha don't worry, th_arrr_",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/NPC Bomb Sign@1:0","Ready?","_ho_Ready?_ho_",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/NPC Bomb Sign@1:1","Boom.","_arrr_Boom._arrr_",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/NPC Bomb Sign@2:0","What? You want more?","_arrr_What? You want more?_arrr_",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/NPC Bomb Sign@2:1","For Todd.","_arrr_For Todd._arrr_",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/NPC Bomb Sign@2:2","Well... let's just say I got plans I can NOT share right now.","_yar_Well... let's just s_yar_",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@0:0","This <wavy>idiot</wavy> insinuated I was too short to be a wizard!","_arrr_This <wavy>idiot</wa_arrr_",
"Map/EightPuzzle/MagitechSTile (3) Past/Objects/WizardDuelPuzzle/Fire Wizard Past@0:1","A DUEL will settle this finely.","_ho_A DUEL will settle t_ho_",
