"Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- In general, any consecutive string of \r and \n (in any order) will be
  treated as one SINGLE line break, except within an enclosed context
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first three will be parsed (you can use the rest as comments if needed)
- The file must end in a sequence of \r and \n's
- Every cell containing a ^, \r, or \n must be enclosed in ""
  - If a "" is encountered right after a non-enclosed separator, \r, or \n,
    then the parser is said to enter an ""enclosed context"", such context
    ends immediately when a non-escaped "" that is not followed by \r, \n,
    or a separator is encountered
  - "" within each cell should be escaped using another "" in front of it,
  - If a "" is encountered in a non-enclosed context, and it is not right
    after a separator, \r, or \n, then it is entirely ignored
  - If a non-escaped "" is encountered in an enclosed context...
    - If it is followed by a separator, \r, or \n, then it is considered
      the closing quote of the current context
    - Otherwise, it is ignored
  - If a separator, \r, or \n is encountered while in an enclosed context,
    it will be preserved
",
"IsValid"," ","NonDialogueFontScale"," ","DialogueFontScale"," ",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback"," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size."," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size. Recommended setting is around 0.3~0.6."," ",
"Path","Orig","Translation",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@0:0","Argh! I can't believe I crashed me ship! Ye can have this as thanks.","_yar_Argh! I can't believe I crashed me ship! Ye can have this as thanks._yar_",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@0:1","Me license is definitely getting suspended after this one.","_ho_Me license is definitely getting suspended after this one._ho_",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@1:0","Arr... What should I do now?","_arrr_Arr... What should I do now?_arrr_",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@1:1","Where's me crew... They better have not jumped ship to the Jungle.","_yar_Where's me crew... They better have not jumped ship to the Jungle._yar_",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@2:0","Pete! Me boy! He's still out there!","_ho_Pete! Me boy! He's still out there!_ho_",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@2:1","I'll need to assemble another crew to save him.","_arrr_I'll need to assemble another crew to save him._arrr_",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@2:2","Argh, I knew we didn't have the guts to sail to The Veil.","_arrr_Argh, I knew we didn't have the guts to sail to The Veil._arrr_",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@2:3","WHO WANTS TO JOIN ME CREW?","_yar_WHO WANTS TO JOIN ME CREW?_yar_",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@2:4","AND BRING BACK THE FATHER!","_arrr_AND BRING BACK THE FATHER!_arrr_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Alien@0:0","Huh? I'm on my break, sorry.","_arrr_Huh? I'm on my break, sorry._arrr_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Amber Oak@0:0","I knew I should've stayed in school...","_yar_I knew I should've stayed in school..._yar_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Amber Oak@0:1","Are you looking for work? Do you know anyone?","_yar_Are you looking for work? Do you know anyone?_yar_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Amber Oak@0:2",":(","_yar_:(_yar_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@0:0","Hi-ho! Wanna play elevens? We'll give ye a treasure if ye win!","_arrr_Hi-ho! Wanna play elevens? We'll give ye a treasure if ye win!_arrr_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@0:1","Here goes!","_arrr_Here goes!_arrr_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@0:2","On my mother's bones, no way this rolls an 11...","_arrr_On my mother's bones, no way this rolls an 11..._arrr_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@1:0","A 10! Yer turn.","_arrr_A 10! Yer turn._arrr_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@2:0","Yar, the tide be shaking the dice again!","_yar_Yar, the tide be shaking the dice again!_yar_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@3:0","I don't know why ye keep rolling matey, yer already a winner!","_ho_I don't know why ye keep rolling matey, yer already a winner!_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@4:0","Argh, a 7! Better luck next time matey.","_ho_Argh, a 7! Better luck next time matey._ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@4:1","What. Whadya mean ye roll aint finished.","_yar_What. Whadya mean ye roll aint finished._yar_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@5:0","Shiver me timbers! How did that happen?","_yar_Shiver me timbers! How did that happen?_yar_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@6:0","What in the name of Davy Jones? How'd ye get an 11? ","_yar_What in the name of Davy Jones? How'd ye get an 11? _yar_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@6:1","I didn't see any cheats, so here's yer prize.","_arrr_I didn't see any cheats, so here's yer prize._arrr_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@7:0","Yar... elevens be no fun, I keep losing!","_yar_Yar... elevens be no fun, I keep losing!_yar_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Ike@0:0","My old man left to explore the foggy seas. His FINAL words to me were <wavy>""North then West.""</wavy>","_ho_My old man left to explore the foggy seas. His FINAL words to me were <wavy>""North then West.""</wavy>_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Ike@0:1","So inpirational. I wonder when he'll come back.","_yar_So inpirational. I wonder when he'll come back._yar_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Ike@0:2","He told me not to search for him cause my ""memory sucks."" ","_arrr_He told me not to search for him cause my ""memory sucks."" _arrr_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Ike@0:3","You know what his final words were? <wavy>""North then West.""</wavy>","_ho_You know what his final words were? <wavy>""North then West.""</wavy>_ho_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Ike@1:0","Uh, yeah, here, there, <wavy>north, west</wavy>. That's how you get through the <wavy>foggy seas</wavy>.","_arrr_Uh, yeah, here, there, <wavy>north, west</wavy>. That's how you get through the <wavy>foggy seas</wavy>._arrr_",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Ike@1:1","My dad used to dance like this.","_arrr_My dad used to dance like this._arrr_",
