"Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- In general, any consecutive string of \r and \n (in any order) will be
  treated as one SINGLE line break, except within an enclosed context
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first three will be parsed (you can use the rest as comments if needed)
- The file must end in a sequence of \r and \n's
- Every cell containing a ^, \r, or \n must be enclosed in ""
  - If a "" is encountered right after a non-enclosed separator, \r, or \n,
    then the parser is said to enter an ""enclosed context"", such context
    ends immediately when a non-escaped "" that is not followed by \r, \n,
    or a separator is encountered
  - "" within each cell should be escaped using another "" in front of it,
  - If a "" is encountered in a non-enclosed context, and it is not right
    after a separator, \r, or \n, then it is entirely ignored
  - If a non-escaped "" is encountered in an enclosed context...
    - If it is followed by a separator, \r, or \n, then it is considered
      the closing quote of the current context
    - Otherwise, it is ignored
  - If a separator, \r, or \n is encountered while in an enclosed context,
    it will be preserved
",
"IsValid"," ","NonDialogueFontScale"," ","DialogueFontScale"," ",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback"," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size."," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size. Recommended setting is around 0.3~0.6."," ",
"Path","Orig","Translation",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (12)/Sunglasses Total Text","2","_yar_2_yar_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Breadge/Breadge Total Text","9","_yar_9_yar_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Oil/Oil Total Text","4","_ho_4_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Text/ItemNameText","Collection","_yar_Collection_yar_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/WorldMapPanel/Text/AreaNameText","Map
","_ho_Map
_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/WorldMapPanel/Text/AreaNameTextBG","Map
","_yar_Map
_yar_",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:0","Mon ami! This is a bit aside but...","_yar_Mon ami! This is a bit aside but..._yar_",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:1","I need a Conductive Bob to fix this power box.","_ho_I need a Conductive Bob to fix this power box._ho_",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:2","There's one in the northeast, marked on your map, but I don't have the tools to get it.","_arrr_There's one in the northeast, marked on your map, but I don't have the tools to get it._arrr_",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:3","It'll keep the door open when fixed. Merci beaucoup!","_arrr_It'll keep the door open when fixed. Merci beaucoup!_arrr_",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@1:0","Bon appetit. Voila. Another ticket complete.","_ho_Bon appetit. Voila. Another ticket complete._ho_",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@2:0","Bon appetit. Voila. Another ticket complete.","_ho_Bon appetit. Voila. Another ticket complete._ho_",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@2:1","So... is the coffee machine fixed yet?","_yar_So... is the coffee machine fixed yet?_yar_",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@3:0","Mon dieu, I'll fix it myself...","_ho_Mon dieu, I'll fix it myself..._ho_",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@4:0","You haven't seen a baguette around here, have you?","_yar_You haven't seen a baguette around here, have you?_yar_",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@0:0","Halt! You do not have authorization to be here.","_arrr_Halt! You do not have authorization to be here._arrr_",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@0:1","You do not have the intelligence to operate the button-operated magnet device.","_arrr_You do not have the intelligence to operate the button-operated magnet device._arrr_",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@0:2","Also, your hat looks stupid.","_ho_Also, your hat looks stupid._ho_",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@0:3","Fine. Just keep pushing buttons and create a big human mess.","_yar_Fine. Just keep pushing buttons and create a big human mess._yar_",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@1:0","You know, these magnets have some charm to them.","_arrr_You know, these magnets have some charm to them._arrr_",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@0:0","These time gates are tricky. You only have a limited number of moves. Conveyer's don't seem to count though...","_yar_These time gates are tricky. You only have a limited number of moves. Conveyer's don't seem to count though..._yar_",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@0:1","Supposed to be some sort of security measure?","_yar_Supposed to be some sort of security measure?_yar_",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@0:2","Want me to restart this one?","_ho_Want me to restart this one?_ho_",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@0:3","Completed.","_yar_Completed._yar_",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@1:0","Heyyyy, now you're dancing.","_ho_Heyyyy, now you're dancing._ho_",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@1:1","Don't forget the <wave>nuance</wave> of the movement and conveyors! It can get real tricky.","_yar_Don't forget the <wave>nuance</wave> of the movement and conveyors! It can get real tricky._yar_",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@1:2","Want me to restart this one here?","_ho_Want me to restart this one here?_ho_",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@1:3","Completed.","_ho_Completed._ho_",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@2:0","Or maybe these are meant to keep us working quickly...","_yar_Or maybe these are meant to keep us working quickly..._yar_",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@3:0","Can robots unionize? Form a robot union. Runion? Unionbot?","_ho_Can robots unionize? Form a robot union. Runion? Unionbot?_ho_",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@0:0","?? Where did you come from?","_ho_?? Where did you come from?_ho_",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@0:1","Anyway, I have these buoys, it would be great if you could- ","_yar_Anyway, I have these buoys, it would be great if you could- _yar_",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@0:2","Haha just kidding.","_yar_Haha just kidding._yar_",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@0:3","Do whatever you want with my buoys.","_ho_Do whatever you want with my buoys._ho_",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@1:0","Do whatever you want with my buoys.","_yar_Do whatever you want with my buoys._yar_",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@1:1","No need to arrange them or anything.","_ho_No need to arrange them or anything._ho_",
